distance(Å-1)	fre/THz	gvx(m/s)	gvy(m/s)	gvz(m/s)	gv(m/s)	band
0.146351	0.9560031689	52.0043	92.51982	-0.86468	106.1372318407862	1.0
0.1470681	0.9565852918	45.41395	84.69214000000001	-2.13293	96.1235393791084	1.0
0.1477852	0.9571019838	39.41722	77.29991000000001	-3.1916100000000003	86.82844978996575	1.0
0.1485023	0.9575585806	33.98939	70.3233	-4.04886	78.21149802146549	1.0
0.1492194	0.9579601825	29.10468	63.742140000000006	-4.71333	70.23075031188903	1.0
0.1499365	0.9583116448	24.736050000000002	57.53574999999999	-5.19427	62.84278111683076	1.0
0.1506536	0.9586175662	20.85506	51.68271	-5.50152	56.002703174562015	1.0
0.1513707	0.9588822765	17.4318	46.16076	-5.64553	49.66442815535582	1.0
0.1520877	0.9591098237	14.434849999999999	40.94675	-5.63735	43.781056920859044	1.0
0.1528048	0.9593039597	11.83126	36.016569999999994	-5.48864	38.305315516284416	1.0
0.1535219	0.9594681278	9.5866	31.34515	-5.21161	33.19009199858596	1.0
0.154239	0.9596054489	7.664999999999999	26.90647	-4.81903	28.388966219321897	1.0
0.1549561	0.9597187093	6.02928	22.67363	-4.3241700000000005	23.85674246170671	1.0
0.1556732	0.959810349	4.6410100000000005	18.61889	-3.74074	19.5498126435984	1.0
0.1563903	0.9598824518	3.4607	14.713780000000002	-3.08287	15.426466018349766	1.0
0.1571074	0.9599367352	2.44792	10.929179999999999	-2.36501	11.446945448411117	1.0
0.1578245	0.9599745435	1.5614599999999998	7.23543	-1.60192	7.573358059863537	1.0
0.1585416	0.9599968414	0.75954	3.6024800000000003	-0.8085500000000001	3.7694185578813086	1.0
0.1592587	0.9600042094	-0.0	0.0	-0.0	0.0	1.0
0.1592587	0.9600042094	-0.0	0.0	-0.0	0.0	1.0
0.1598423	0.9599967785	6.576460000000001	-2.95003	-5.21082	8.894107499063637	1.0
0.160426	0.9599744705	13.15345	-5.90066	-10.428519999999999	17.792837455799454	1.0
0.1610097	0.9599372391	19.731550000000002	-8.852459999999999	-15.660060000000001	26.700891233397062	1.0
0.1615933	0.9598850066	26.311420000000002	-11.80589	-20.912490000000002	35.623055723907235	1.0
0.162177	0.9598176625	32.89382	-14.76128	-26.19309	44.564298997952385	1.0
0.1627606	0.9597350619	39.47968	-17.71873	-31.509379999999997	53.52980061330044	1.0
0.1633443	0.9596370233	46.07013	-20.67811	-36.8692	62.525027149366366	1.0
0.163928	0.9595233261	52.66651	-23.63898	-42.280820000000006	71.55578516718897	1.0
0.1645116	0.9593937069	59.27045	-26.60049	-47.75298	80.62827922213769	1.0
0.1650953	0.959247856	65.88386	-29.56134	-53.295	89.74916632534924	1.0
0.165679	0.9590854122	72.509	-32.51967	-58.916900000000005	98.92565452661357	1.0
0.1662626	0.9589059576	79.14846	-35.47298	-64.62944	108.16550071610449	1.0
0.1668463	0.9587090114	85.80521	-38.41801	-70.4443	117.47713376650879	1.0
0.1674299	0.9584940223	92.48261	-41.35064	-76.37416999999999	126.8697064866574	1.0
0.1680136	0.9582603603	99.18437	-44.265710000000006	-82.43285	136.35309711635998	1.0
0.1685973	0.9580073074	105.91454	-47.156890000000004	-88.63543	145.93800570505476	1.0
0.1691809	0.9577340469	112.67750000000001	-50.016510000000004	-94.9984	155.63600573578756	1.0
0.1697646	0.9574396516	119.47779	-52.835359999999994	-101.53977	165.45948888252556	1.0
0.1703483	0.9571230707	126.32006	-55.60249	-108.27917000000001	175.4217007912436	1.0
0.1709319	0.9567831154	133.20885	-58.30495	-115.238	185.53668520490766	1.0
0.1715156	0.9564184435	140.14836	-60.927580000000006	-122.43939999999999	195.8191499514437	1.0
0.1720992	0.9560275432	147.14208	-63.45278	-129.90829	206.28429607505004	1.0
0.1726829	0.955608716	154.19233	-65.86024	-137.67123	216.94748999101003	1.0
0.1732666	0.9551600601	161.2997	-68.12675999999999	-145.75615	227.82384403527672	1.0
0.1738502	0.954679455	168.46226	-70.22610999999999	-154.19191	238.92757203698318	1.0
0.1744339	0.9541645482	175.67462	-72.12902	-163.00754	250.27110447504003	1.0
0.1750176	0.9536127466	182.92676	-73.80326000000001	-172.23117	261.86388951188763	1.0
0.1756012	0.9530212155	190.20264	-75.2141	-181.88841	273.71079407671834	1.0
0.1761849	0.9523868878	197.47859	-76.32501	-192.00021	285.81004408510967	1.0
0.1767685	0.9517064887	204.72151	-77.0989	-202.57995000000003	298.15058809248154	1.0
0.1773522	0.9509765814	211.88703	-77.50002	-213.62973	310.7089122025537	1.0
0.1779359	0.9501936402	218.91777000000002	-77.49656	-225.13581	323.44526550556066	1.0
0.1785195	0.9493541577	225.74187	-77.06427000000001	-237.06321	336.29935937678187	1.0
0.1791032	0.9484547926	232.27245000000002	-76.19088	-249.34978999999998	349.1859948469025	1.0
0.1796869	0.9474925627	238.40808	-74.88148	-261.90023	361.9908550368776	1.0
0.1802705	0.9464650848	244.03516000000002	-73.16435	-274.58076	374.5674507873391	1.0
0.1808542	0.9453708546	249.03231	-71.09666	-287.21575	386.7359739346137	1.0
0.1814378	0.9442095543	253.27733999999998	-68.76927	-299.5875	398.2854423777732	1.0
0.1820215	0.9429823636	256.65634	-66.30917	-311.44052	408.9799266298469	1.0
0.1826052	0.9416922401	259.0743	-63.878690000000006	-322.49124	418.56968336627494	1.0
0.1831888	0.9403441307	260.46591	-61.67034	-332.44336	426.8071094955347	1.0
0.1837725	0.938945073	260.80466	-59.89716000000001	-341.00758	433.46615793074045	1.0
0.1843562	0.9375041574	260.1085	-58.779250000000005	-347.92359	438.36315593500854	1.0
0.1849398	0.9360323352	258.44076	-58.52808	-352.98112000000003	441.37606828453943	1.0
0.1855235	0.9345420818	255.90568	-59.330859999999994	-356.03691	442.4592063534785	1.0
0.1861072	0.933046945	252.63944999999998	-61.33732	-357.02488	441.6511332036852	1.0
0.1866908	0.9315610248	248.79809	-64.65057	-355.95871	439.07492414602444	1.0
0.1872745	0.9300984371	244.54435	-69.32309	-352.92690000000005	434.9310596723124	1.0
0.1878581	0.9286728099	240.0353	-75.35748	-348.08222	429.48448972945323	1.0
0.1884418	0.9272968483	235.41219	-82.71112000000001	-341.62767	423.0478619280322	1.0
0.1890255	0.9259819907	230.79314000000002	-91.30336	-333.80131	415.96284879309275	1.0
0.1896091	0.9247381619	226.26882	-101.02373	-324.86185	408.58119696423597	1.0
0.1901928	0.9235736198	221.90056	-111.74024	-315.07603	401.24636377683487	1.0
0.1907765	0.9224948817	217.72049	-123.30667	-304.70867	394.2767051266127	1.0
0.1913601	0.921506715	213.73293	-135.56861	-294.01522	387.95046458970177	1.0
0.1919438	0.9206121754	209.91645	-148.36802	-283.23668999999995	382.49314752225166	1.0
0.1925274	0.9198126767	206.22618	-161.54614	-272.59677	378.06797230223685	1.0
0.1931111	0.9191080774	202.59606	-174.94502	-262.30048	374.7698832064209	1.0
0.1936948	0.9184967732	198.94065	-188.40764000000001	-252.53434000000001	372.62368941336473	1.0
0.1942784	0.9179757841	195.15658	-201.77664000000001	-243.4677	371.586361577327	1.0
0.1948621	0.9175408252	191.12317000000002	-214.89153000000002	-235.25516	371.552723154084	1.0
0.1954458	0.9171863511	186.70235	-227.58419	-228.04025000000001	372.3636484050787	1.0
0.1960294	0.9169055613	181.73746	-239.6722	-221.96045999999998	373.81507944905485	1.0
0.1966131	0.9166903496	176.05078999999998	-250.94912	-217.15414	375.6664238490553	1.0
0.1971967	0.9165311755	169.43931999999998	-261.17062	-213.76984000000002	377.64708446759175	1.0
0.1977804	0.9164168277	161.66844	-270.03461	-211.97905	379.46079208369895	1.0
0.1983641	0.9163340362	152.463	-277.15297	-211.99330999999998	380.788522192538	1.0
0.1989477	0.9162668756	141.49597	-282.01168	-214.08697999999998	381.29376101397685	1.0
0.1995314	0.9161958873	128.37589	-283.91635	-218.62593	380.63914696071333	1.0
0.2001151	0.916096846	112.63814	-281.92332000000005	-226.09913	378.5352368396355	1.0
0.2006987	0.9159391451	93.75287	-274.76743	-237.14121	374.8635681181967	1.0
0.2012824	0.9156839594	71.17909	-260.82925	-252.51210999999998	369.94692349774	1.0
0.201866	0.9152828422	44.51841	-238.25137999999998	-272.9584	365.03684338898245	1.0
0.2024497	0.9146784227	13.83366	-205.41065999999998	-298.83468999999997	362.887146834973	1.0
0.2030334	0.9138101809	-19.88208	-161.95292999999998	-329.40872	367.6059758120775	1.0
0.203617	0.9126281181	-54.37355	-110.16027	-362.11426	382.3852838714155	1.0
0.2042007	0.9111121561	-86.50364	-55.463390000000004	-392.58815	405.8134089504241	1.0
0.2047844	0.9092861906	-113.51580999999999	-4.783119999999999	-416.14988000000005	431.38085258957074	1.0
0.205368	0.9072146419	-134.23467	36.46814	-429.8122	451.7603337322883	1.0
0.2059517	0.9049831782	-149.15287	66.11085	-433.06869	462.78041593748924	1.0
0.2065353	0.902677619	-159.63961	84.70129	-427.17956	463.8334723695669	1.0
0.207119	0.9003713742	-167.15815	94.11097000000001	-414.05256	456.33128780340826	1.0
0.2077027	0.8981218705	-172.89127	96.43374999999999	-395.51555	442.29335250835265	1.0
0.2082863	0.8959719577	-177.67723	93.48433	-373.04521	423.64046869953995	1.0
0.20887	0.8939529045	-182.07179	86.67657	-347.74735	401.9840593018478	1.0
0.2094537	0.8920873269	-186.43101	77.06153	-320.42519999999996	378.63875883300824	1.0
0.2100373	0.8903915295	-190.9788	65.40726	-291.65888	354.7053904199963	1.0
0.210621	0.8888772278	-195.85401	52.274469999999994	-261.87105	331.1613810137944	1.0
0.2112047	0.8875527713	-201.14128	38.07594	-231.37519000000003	308.9370004943696	1.0
0.2117883	0.8864240004	-206.89058	23.119899999999998	-200.40931999999998	288.9673639212719	1.0
0.212372	0.885494845	-213.12958000000003	7.64065	-169.15919	272.20842926855704	1.0
0.2129556	0.8847677446	-219.8714	-8.17999	-137.77416	259.5998149808002	1.0
0.2135393	0.8842439443	-227.11964	-24.19774	-106.37812	251.96262800179636	1.0
0.214123	0.8839237052	-234.87152	-40.29533	-75.07713	249.84979482872544	1.0
0.2147066	0.8838064531	-243.11995	-56.37503	-43.96483	253.4134179013264	1.0
0.2152903	0.8838908849	-251.85491	-72.35334	-13.12635	262.37035382181847	1.0
0.215874	0.8841750424	-261.06433	-88.15708	17.35875	276.09342866869866	1.0
0.2164576	0.8846563635	-270.73465	-103.72058	47.41424	293.7742663694975	1.0
0.2170413	0.8853317152	-280.85124	-118.98359	76.96542	314.57620630715553	1.0
0.2176249	0.8861974128	-291.39849999999996	-133.88969	105.93759	337.73111770394235	1.0
0.2176249	0.8861974128	-291.39849999999996	-133.88969	105.93759	337.73111770394235	1.0
0.2180383	0.8863535559	-291.82647	-113.01092	116.86372	334.05281870408714	1.0
0.2184517	0.8864123142	-292.14082	-91.73606	127.90424	331.84523203531734	1.0
0.218865	0.8863720968	-292.33707999999996	-70.07647	139.05648	331.22256055495023	1.0
0.2192784	0.8862313606	-292.41048	-48.04493	150.31718999999998	332.276182899153	1.0
0.2196918	0.8859886165	-292.3559	-25.65558	161.68255	335.0692883933842	1.0
0.2201051	0.885642435	-292.16795	-2.92387	173.14813	339.633530361	1.0
0.2205185	0.8851914525	-291.84098	20.133419999999997	184.70883	345.9680102093627	1.0
0.2209319	0.8846343771	-291.36913	43.49823	196.35891999999998	354.0408047014584	1.0
0.2213452	0.8839699946	-290.7464	67.15119	208.09201000000002	363.79257284504337	1.0
0.2217586	0.8831971742	-289.96672	91.0716	219.90105	375.1415823728701	1.0
